VM_Resource_ID,VM_Size_GB,Disk_Tier,Vault_Redundancy,Restore_Method,Region,Network_Bandwidth_Mbps,Restore_Time_Min
/subscriptions/e0ac2e05/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-0,3238,Premium_SSD,GRS,Vault,West Europe,1000,388.83
/subscriptions/26c1a593/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-1,3571,Premium_SSD,ZRS,Instant,West Europe,10000,17.24
/subscriptions/8f22a603/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-2,924,Premium_SSD,GRS,Vault,Southeast Asia,1000,112.39
/subscriptions/0b0a96ea/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-3,1358,Ultra,ZRS,Vault,East US,1000,48.35
/subscriptions/b73639d3/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-4,1194,Premium_SSD,LRS,Vault,Southeast Asia,1000,103.89
/subscriptions/c214f71d/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-5,1159,Standard_HDD,LRS,Vault,East US,5000,496.51
/subscriptions/3fa1320b/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-6,3836,Standard_HDD,LRS,Vault,East US,10000,1638.69
/subscriptions/59978708/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-7,3156,Standard_SSD,GRS,Instant,West Europe,1000,39.7
/subscriptions/37decb55/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-8,1702,Premium_SSD,ZRS,Vault,West Europe,1000,147.24
/subscriptions/622090b8/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-9,2233,Ultra,LRS,Vault,East US,5000,78.22
/subscriptions/42376dd9/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-10,530,Standard_SSD,ZRS,Vault,Southeast Asia,10000,92.45
/subscriptions/6e149724/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-11,1302,Premium_SSD,LRS,Vault,West Europe,10000,113.1
/subscriptions/2d1b7c20/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-12,394,Standard_SSD,ZRS,Instant,Southeast Asia,5000,5.36
/subscriptions/2af7ce54/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-13,1546,Ultra,LRS,Instant,West Europe,5000,4.64
/subscriptions/3a813c82/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-14,2199,Premium_SSD,LRS,Instant,West Europe,10000,11.38
/subscriptions/262380c9/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-15,3508,Premium_SSD,LRS,Vault,Southeast Asia,5000,301.35
/subscriptions/6b3814e6/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-16,3235,Premium_SSD,LRS,Instant,West Europe,10000,15.8
/subscriptions/8f1d217e/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-17,2983,Premium_SSD,LRS,Instant,West Europe,10000,14.73
/subscriptions/5fb0ddaa/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-18,3799,Standard_SSD,LRS,Vault,Southeast Asia,1000,650.36
/subscriptions/c9eee192/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-19,194,Standard_HDD,ZRS,Instant,West Europe,1000,6.82
/subscriptions/3c0b3e38/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-20,1749,Premium_SSD,GRS,Vault,West Europe,10000,210.95
/subscriptions/4ebf303d/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-21,3444,Premium_SSD,LRS,Vault,West Europe,10000,295.89
/subscriptions/a2589af3/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-22,833,Ultra,GRS,Vault,Southeast Asia,10000,46.74
/subscriptions/71dabd34/resourceGroups/Prod/providers/Microsoft.Compute/virtualMachines/VM-23,2455,Ultra,GRS,Instant,East US,10000,7.87
